Cause,Year,Death Total, mid 20th century equivalent,Century String
"""Fall of Rome""",350,8000000,105000000,"""3rd-5th"""
"""An Lushan Revolt""",763,36000000,429000000,"""8th"""
"""Mongol Conquests",1227,40000000,278000000,"""13th"""
"""Mideast Slave Trade""",1250,19000000,83000000,"""7th-19th"""
"""Timur Lenk (Tamerlane)""",1405,17000000,100000000,"""14th-15th"""
"""French Wars of Religion""",1598,3000000,14000000,"""16th"""
"""Russia's Time of Troubles""",1603,5000000,23000000,"""16th-17th"""
"""Fall of the Ming Dynasty""",1644,25000000,112000000,"""17th"""
"""Thirty Years War""",1648,7000000,32000000,"""17th"""
"""Conquest of America""",1790,20000000,92000000,"""15th-19th"""
"""Atlantic Slave Trade""",1795,18000000,82000000,"""15th-19th"""
"""Napoleonic Wars""",1815,4000000,11000000,"""19th"""
"""Taiping Rebellion""",1864,20000000,40000000,"""19th"""
"""British India""",1879,17000000,35000000,"""19th"""
"""Congo Free State""",1908,8000000,12000000,"""19th-20th"""
"""First World War""",1918,15000000,15000000,"""20th"""
"""Russian Civil War""",1922,9000000,9000000,"""20th"""
"""World War II""",1945,55000000,55000000,"""20th"""
"""Chinese Civil Wars""",1950,3000000,3000000,"""20th"""
"""Josef Stalin""",1953,20000000,20000000,"""20th"""
"""Mao Zedong""",1975,40000000,40000000,"""20th"""
