year,Non State Average,Semai,Inuit,!Kung,England,Netherlands and Belgium,Scandinavia,Germany and Switzerland,Italy,Average,
1200,,,,,,,,,,,
1250,518,30,100,42,,,,,,,
1300,,,,,23,47,42,37,56,41,41.92266923
1450,,,,,12,45,46,16,73,38,12.38275404
1550,,,,,7,25,21,11,47,22,
1625,,,,,6,6,24,11,32,16,
1675,,,,,4,9,12,3,29,11,29.3545475
1725,,,,,2,7,3,7,12,6,
1775,,,,,1,4,0.7,8,9,5,
1812,,,,,2,2,1,3,18,5,
1837,,,,,1.7,5,1.4,4,15,5,5.279107818
1862,,,,,1.6,0.9,1.2,2,12,4,
1887,,,,,0.8,1.5,0.9,2.2,5.5,2,
1912,,,,,0.8,1.7,0.8,2,3.9,2,
1937,,,,,0.8,1.3,0.6,1.4,2.6,1,
1962,,,,,0.7,0.6,0.6,0.9,1.3,1,
1984,,,,,1.2,1.2,1.2,1.2,1.7,1,
2010,,,,,1.2,1.1,1.2,0.8,0.9,1,
