year,Non State Average,Semai,Inuit,!Kung,England,Netherlands and Belgium,Scandinavia,Germany and Switzerland,Italy,Average
1200,,,,,,,,,,
1250,518,30,100,42,,,,,,
1300,,,,,23.00,47.00,42.00,37.00,56.00,41.00
1450,,,,,12.00,45.00,46.00,16.00,73.00,38.40
1550,,,,,7.00,25.00,21.00,11.00,47.00,22.20
1625,,,,,6.00,6.00,24.00,11.00,32.00,15.80
1675,,,,,4.00,9.00,12.00,3.00,29.00,11.40
1725,,,,,2.00,7.00,3.00,7.00,12.00,6.20
1775,,,,,1.00,4.00,0.70,8.00,9.00,4.54
1812,,,,,2.00,2.00,1.00,3.00,18.00,5.20
1837,,,,,1.70,5.00,1.40,4.00,15.00,5.42
1862,,,,,1.60,0.90,1.20,2.00,12.00,3.54
1887,,,,,0.80,1.50,0.90,2.20,5.50,2.18
1912,,,,,0.80,1.70,0.80,2.00,3.90,1.84
1937,,,,,0.80,1.30,0.60,1.40,2.60,1.34
1962,,,,,0.70,0.60,0.60,0.90,1.30,0.82
1984,,,,,1.20,1.20,1.20,1.20,1.70,1.30
2010,,,,,1.20,1.10,1.20,0.80,0.90,1.04
